run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,gamma_cost,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes
12235,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.07098975223027736
12239,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.659317031437235
12237,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.06167009139936767
12244,0,TRUE,0.3,TRUE,reward,40,10,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00645641936900838
12241,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.991723166677645
12246,0,TRUE,0.3,TRUE,reward,40,30,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01013520836764237
12240,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.808740304324604
12243,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9899447463414232
12242,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9944780366112326
12245,0,TRUE,0.3,TRUE,reward,40,20,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00461567453777782
12247,0,TRUE,0.3,TRUE,reward,40,35,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.15445711416292687
12250,0,TRUE,0.3,TRUE,reward,40,50,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.28158851142355334
12248,0,TRUE,0.3,TRUE,reward,40,40,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.09132253467635258
12238,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5971968140731131
12251,0,TRUE,0.3,TRUE,reward,40,60,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8516673931808088
12253,0,TRUE,0.3,TRUE,reward,40,80,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9874894252297196
12255,0,TRUE,0.3,TRUE,reward,40,10,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00625178480041949
12254,0,TRUE,0.3,TRUE,reward,40,90,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.99551714338531
12256,0,TRUE,0.3,TRUE,reward,40,20,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.08803227414673795
12249,0,TRUE,0.3,TRUE,reward,40,45,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.2714923267156532
12258,0,TRUE,0.3,TRUE,reward,40,35,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00963809527621274
12257,0,TRUE,0.3,TRUE,reward,40,30,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00491208342682699
12262,0,TRUE,0.3,TRUE,reward,40,60,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.7078462430130982
12261,0,TRUE,0.3,TRUE,reward,40,50,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5941726489762966
12260,0,TRUE,0.3,TRUE,reward,40,45,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4619991053661283
12252,0,TRUE,0.3,TRUE,reward,40,70,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9921278469284568
