run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent
9791,20,500,10,95,1000,0.095
9792,20,500,20,91,1000,0.091
9793,20,500,30,162,1000,0.162
9794,20,500,35,118,1000,0.118
9795,20,500,40,407,1000,0.407
9796,20,500,45,78,1000,0.078
9797,20,500,50,120,1000,0.12
9798,20,500,60,47,1000,0.047
9799,20,500,70,164,1000,0.164
9800,20,500,80,83,1000,0.083
9801,20,500,90,51,1000,0.051
9802,35,500,10,63,1000,0.063
9803,35,500,20,79,1000,0.079
9804,35,500,30,122,1000,0.122
9805,35,500,35,116,1000,0.116
9806,35,500,40,173,1000,0.173
9807,35,500,45,148,1000,0.148
9808,35,500,50,142,1000,0.142
9809,35,500,60,144,1000,0.144
9810,35,500,70,144,1000,0.144
9811,35,500,80,87,1000,0.087
9812,35,500,90,48,1000,0.048
9813,50,500,10,72,1000,0.072
9814,50,500,20,152,1000,0.152
9815,50,500,30,325,1000,0.325
9816,50,500,35,157,1000,0.157
9817,50,500,40,33,1000,0.033
9818,50,500,45,1,1000,0.001
9819,50,500,50,203,1000,0.203
9820,50,500,60,200,1000,0.2
9821,50,500,70,115,1000,0.115
9822,50,500,80,115,1000,0.115
9823,50,500,90,60,1000,0.06
9824,65,500,10,68,1000,0.068
9825,65,500,20,95,1000,0.095
9826,65,500,30,191,1000,0.191
9827,65,500,35,121,1000,0.121
9828,65,500,40,140,1000,0.14
9829,65,500,45,486,1000,0.486
9830,65,500,50,138,1000,0.138
9831,65,500,60,113,1000,0.113
9832,65,500,70,112,1000,0.112
9833,65,500,80,77,1000,0.077
9834,65,500,90,84,1000,0.084
9835,75,500,10,73,1000,0.073
9836,75,500,20,126,1000,0.126
9837,75,500,30,150,1000,0.15
9838,75,500,35,137,1000,0.137
9839,75,500,40,339,1000,0.339
9840,75,500,45,208,1000,0.208
9841,75,500,50,128,1000,0.128
9842,75,500,60,219,1000,0.219
9843,75,500,70,142,1000,0.142
9844,75,500,80,122,1000,0.122
9845,75,500,90,108,1000,0.108
9846,90,500,10,103,1000,0.103
9847,90,500,20,123,1000,0.123
9848,90,500,30,202,1000,0.202
9849,90,500,35,159,1000,0.159
9850,90,500,40,446,1000,0.446
9851,90,500,45,151,1000,0.151
9852,90,500,50,243,1000,0.243
9853,90,500,60,650,1000,0.65
9854,90,500,70,173,1000,0.173
9855,90,500,80,93,1000,0.093
9856,90,500,90,85,1000,0.085
9857,10,50,10,49,1000,0.049
9858,10,50,20,43,1000,0.043
9859,10,50,30,107,1000,0.107
9860,10,50,35,105,1000,0.105
9861,10,50,40,113,1000,0.113
9862,10,50,45,45,1000,0.045
