run_number,initial_gamma,age_sd,deterministic_age,eq_step,max_steps,eq_percent
84,0.01,30,FALSE,107,1000,0.107
85,0.01,30,FALSE,84,1000,0.084
86,0.01,30,FALSE,116,1000,0.116
87,0.01,30,FALSE,126,1000,0.126
88,0.01,30,FALSE,56,1000,0.056
89,0.01,50,TRUE,69,1000,0.069
90,0.01,50,TRUE,88,1000,0.088
91,0.01,50,TRUE,122,1000,0.122
92,0.01,50,TRUE,110,1000,0.11
93,0.01,50,TRUE,109,1000,0.109
94,0.01,50,TRUE,121,1000,0.121
95,0.01,50,TRUE,170,1000,0.17
96,0.01,50,TRUE,768,1000,0.768
97,0.01,50,TRUE,111,1000,0.111
98,0.01,50,TRUE,105,1000,0.105
99,0.01,50,TRUE,62,1000,0.062
100,0.01,50,FALSE,46,1000,0.046
101,0.01,50,FALSE,84,1000,0.084
102,0.01,50,FALSE,266,1000,0.266
103,0.01,50,FALSE,123,1000,0.123
104,0.01,50,FALSE,124,1000,0.124
105,0.01,50,FALSE,154,1000,0.154
106,0.01,50,FALSE,10,1000,0.01
107,0.01,50,FALSE,315,1000,0.315
108,0.01,50,FALSE,92,1000,0.092
109,0.01,50,FALSE,189,1000,0.189
110,0.01,50,FALSE,53,1000,0.053
111,0.01,100,TRUE,57,1000,0.057
112,0.01,100,TRUE,85,1000,0.085
113,0.01,100,TRUE,78,1000,0.078
114,0.01,100,TRUE,163,1000,0.163
115,0.01,100,TRUE,80,1000,0.08
116,0.01,100,TRUE,7,1000,0.007
117,0.01,100,TRUE,158,1000,0.158
118,0.01,100,TRUE,116,1000,0.116
119,0.01,100,TRUE,99,1000,0.099
120,0.01,100,TRUE,80,1000,0.08
121,0.01,100,TRUE,62,1000,0.062
122,0.01,100,FALSE,58,1000,0.058
123,0.01,100,FALSE,85,1000,0.085
124,0.01,100,FALSE,29,1000,0.029
125,0.01,100,FALSE,137,1000,0.137
126,0.01,100,FALSE,458,1000,0.458
127,0.01,100,FALSE,50,1000,0.05
128,0.01,100,FALSE,599,1000,0.599
129,0.01,100,FALSE,37,1000,0.037
130,0.01,100,FALSE,110,1000,0.11
131,0.01,100,FALSE,100,1000,0.1
132,0.01,100,FALSE,75,1000,0.075
133,0.01,30,TRUE,38,1000,0.038
134,0.01,30,TRUE,79,1000,0.079
135,0.01,30,TRUE,100,1000,0.1
136,0.01,30,TRUE,122,1000,0.122
137,0.01,30,TRUE,130,1000,0.13
138,0.01,30,TRUE,408,1000,0.408
139,0.01,30,TRUE,142,1000,0.142
140,0.01,30,TRUE,111,1000,0.111
141,0.01,30,TRUE,122,1000,0.122
142,0.01,30,TRUE,68,1000,0.068
143,0.01,30,TRUE,59,1000,0.059
144,0.01,30,FALSE,52,1000,0.052
145,0.01,30,FALSE,68,1000,0.068
